Date,Anuradhapura,Badulla,Bandarawela,Batticaloa,Colombo,Galle,Hambanthota,Jaffna,Monaragala,Katugasthota,Katunayake,Kurunegala,Maha Illuppama,Mannar,Polonnaruwa,Nuwara Eliya,Pothuvil,Puttalam,Rathmalana,Rathnapura,Trincomalee,Vavuniya,Mattala,Mullativ
5/29/2024,0.0,0.0,0.0,0.0,0.8,5.7,0.0,0.0,0.0,5.3,2.4,2.6,0.0,0.0,0.0,10.5,0,0.0,2.8,33.9,0.0,0.0,0.0,0.0
6/3/2024,2.4,5.1,43.8,1.9,79.9,24.3,30.3,29.3,0.0,15.1,71.5,5.8,1.2,23.9,26.7,1.5,0.6,53.2,84.5,154.4,43.5,14.7,2.1,27.4
6/4/2024,0.0,0.0,0.0,0.0,0.0,0.1,6.2,0.0,0.0,1.3,0,2.1,0.6,0.0,0.0,1.0,TR,0.6,1.0,10.7,0.0,0.0,15.5,0.0
6/9/2024,0.0,0.0,0.0,0.0,7.0,5.6,1.5,0.0,0.0,2.4,TR,32.4,0.0,0.0,0.0,1.0,0,0.9,1.2,2.6,0.0,0.0,0.2,0.0
6/10/2024,0.0,0.0,0.0,0.0,7.0,5.6,1.5,0.0,0.0,2.4,TR,32.4,0.0,0.0,0.0,1.0,0,0.9,1.2,2.6,0.0,0.0,0.2,0.0
6/11/2024,0.0,0.0,0.0,0.0,1.5,1.2,0.5,0.0,0.0,0.0,0.3,0.4,0.0,0.0,0.0,0.0,0,0.0,2.6,5.6,0.0,0.0,0.0,0.0
2024-06-13,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,TR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-16,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TR,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0
